Timestamp,Temperature,Humidity,Location,Date,Time
4/18/21 13:50,28,22,Muc,4/18/21,13:50:00
4/18/21 13:52,28,22,Muc,4/18/21,13:52:00
4/18/21 13:54,28,22,Muc,4/18/21,13:54:00
4/18/21 13:56,28,22,Muc,4/18/21,13:56:00
4/18/21 13:58,28,22,Muc,4/18/21,13:58:00
4/18/21 14:00,28,22,Muc,4/18/21,14:00:00
4/18/21 14:02,28,23,Muc,4/18/21,14:02:00
4/18/21 14:04,28,24,Muc,4/18/21,14:04:00
4/18/21 14:06,28,23,Muc,4/18/21,14:06:00
4/18/21 14:08,28,23,Muc,4/18/21,14:08:00
4/18/21 14:10,28,23,Muc,4/18/21,14:10:00
4/18/21 14:12,28,23,Muc,4/18/21,14:12:00
4/18/21 14:14,28,23,Muc,4/18/21,14:14:00
4/18/21 14:16,28,22,Muc,4/18/21,14:16:00
4/18/21 14:18,28,23,Muc,4/18/21,14:18:00
4/18/21 14:20,28,22,Muc,4/18/21,14:20:00
4/18/21 14:22,28,22,Muc,4/18/21,14:22:00
4/18/21 14:24,28,22,Muc,4/18/21,14:24:00
4/18/21 14:26,29,22,Muc,4/18/21,14:26:00
4/18/21 14:28,29,25,Muc,4/18/21,14:28:00
4/18/21 14:30,29,23,Muc,4/18/21,14:30:00
4/18/21 14:32,29,22,Muc,4/18/21,14:32:00
4/18/21 14:34,29,23,Muc,4/18/21,14:34:00
4/18/21 14:36,29,23,Muc,4/18/21,14:36:00
4/18/21 14:38,29,23,Muc,4/18/21,14:38:00
4/18/21 14:40,29,22,Muc,4/18/21,14:40:00
4/18/21 14:42,30,22,Muc,4/18/21,14:42:00
4/18/21 14:44,30,21,Muc,4/18/21,14:44:00
4/19/21 14:51,23,23,Library,4/19/21,14:51:00
4/19/21 14:53,23,21,Library,4/19/21,14:53:00
4/19/21 14:55,23,21,Library,4/19/21,14:55:00
4/19/21 14:57,23,21,Library,4/19/21,14:57:00
4/19/21 14:59,23,21,Library,4/19/21,14:59:00
4/19/21 15:01,23,21,Library,4/19/21,15:01:00
4/19/21 15:03,23,21,Library,4/19/21,15:03:00
4/19/21 15:05,23,21,Library,4/19/21,15:05:00
4/19/21 15:07,23,21,Library,4/19/21,15:07:00
4/19/21 15:09,23,21,Library,4/19/21,15:09:00
4/19/21 15:11,23,21,Library,4/19/21,15:11:00
4/19/21 15:13,23,21,Library,4/19/21,15:13:00
4/19/21 15:15,23,21,Library,4/19/21,15:15:00
4/19/21 15:17,23,21,Library,4/19/21,15:17:00
4/19/21 15:19,23,20,Library,4/19/21,15:19:00
4/19/21 15:21,23,21,Library,4/19/21,15:21:00
4/19/21 15:23,23,21,Library,4/19/21,15:23:00
4/19/21 15:25,23,20,Library,4/19/21,15:25:00
4/19/21 15:27,23,20,Library,4/19/21,15:27:00
4/19/21 15:29,23,20,Library,4/19/21,15:29:00
4/19/21 15:31,23,20,Library,4/19/21,15:31:00
4/19/21 15:33,23,21,Library,4/19/21,15:33:00
4/19/21 15:35,23,20,Library,4/19/21,15:35:00
4/19/21 15:37,24,20,Library,4/19/21,15:37:00
4/19/21 15:39,24,20,Library,4/19/21,15:39:00
4/19/21 15:41,23,21,Library,4/19/21,15:41:00
4/19/21 15:43,23,21,Library,4/19/21,15:43:00
4/19/21 15:45,23,21,Library,4/19/21,15:45:00
4/19/21 15:47,23,21,Library,4/19/21,15:47:00
4/19/21 15:49,23,21,Library,4/19/21,15:49:00
